"Sample.name.Microarray"	"Sample"	"Conc..µg.µL."	"X1.µg.RNA..µL."	"H2O..up.to.16.µL."	"Date.performed"	"Whow.Seeded.and.treated.cells."	"Passage"	"RNA"	"cDNA"	"qPCR"
"3"	"CAS1_IL4I1_KO_01"	"SLI_KO_13_19"	0.3102	3.22372662798195	12.7762733720181	20190801	"P7"	"-"	"P2"	"P2"	"P2"
"6"	"CAS1_IL4I1_KO_02"	"SLI_KO_14_16"	0.40091	2.49432540969295	13.5056745903071	20190808	"P7"	"-"	"P2"	"P2"	"P2"
"9"	"CAS1_IL4I1_KO_03"	"SLI_KO_15_14"	0.41778	2.39360428933889	13.6063957106611	20191125	"P1"	"-"	"P2"	"P2"	"P2"
"12"	"CAS1_IL4I1_KO_04"	"SLI_KO_17_04"	0.62778	1.59291471534614	14.4070852846539	20200123	"P1"	"-"	"P2"	"P2"	"P2"
"15"	"CAS1_IL4I1_KO_05"	"SLI_KO_18_04"	0.55666	1.79642869974491	14.2035713002551	20200127	"P1"	"-"	"P2"	"P2"	"P2"
"18"	"CAS1_IL4I1_KO_06"	"SLI_KO_19_04"	0.49875	2.00501253132832	13.9949874686717	20200130	"P1"	"-"	"P2"	"P2"	"P2"
"1"	"CAS1_NTC_01"	"SLI_KO_13_13"	0.4116	2.42954324586978	13.5704567541302	20190801	"P7"	"-"	"P2"	"P2"	"P2"
"4"	"CAS1_NTC_02"	"SLI_KO_14_12"	0.27895	3.58487184083169	12.4151281591683	20190808	"P7"	"-"	"P2"	"P2"	"P2"
"7"	"CAS1_NTC_03"	"SLI_KO_15_10"	0.3577	2.79563880346659	13.2043611965334	20191125	"P1"	"-"	"P2"	"P2"	"P2"
"10"	"CAS1_NTC_04"	"SLI_KO_17_02"	0.52206	1.91548864115236	14.0845113588476	20200123	"P1"	"-"	"P2"	"P2"	"P2"
"13"	"CAS1_NTC_05"	"SLI_KO_18_02"	0.47912	2.08715979295375	13.9128402070463	20200127	"P1"	"-"	"P2"	"P2"	"P2"
"16"	"CAS1_NTC_06"	"SLI_KO_19_02"	0.56437	1.77188723709623	14.2281127629038	20200130	"P1"	"-"	"P2"	"P2"	"P2"
"2"	"CAS1_NTC01_01"	"SLI_KO_13_17"	0.3247	3.07976593778873	12.9202340622113	20190801	"P7"	"-"	"P2"	"P2"	"P2"
"5"	"CAS1_NTC01_02"	"SLI_KO_14_13"	0.28368	3.52509870276368	12.4749012972363	20190808	"P7"	"-"	"P2"	"P2"	"P2"
"8"	"CAS1_NTC01_03"	"SLI_KO_15_11"	0.38006	2.63116350049992	13.3688364995001	20191125	"P1"	"-"	"P2"	"P2"	"P2"
"11"	"CAS1_NTC01_04"	"SLI_KO_17_03"	0.34234	2.92107261786528	13.0789273821347	20200123	"P1"	"-"	"P2"	"P2"	"P2"
"14"	"CAS1_NTC01_05"	"SLI_KO_18_03"	0.62878	1.59038137345335	14.4096186265466	20200127	"P1"	"-"	"P2"	"P2"	"P2"
"17"	"CAS1_NTC01_06"	"SLI_KO_19_03"	0.46744	2.13931199726168	13.8606880027383	20200130	"P1"	"-"	"P2"	"P2"	"P2"
