"Sample_name_Microarray"	"Sample"	"Conc_.µg.µL."	"X1.2_µg_RNA_.µL."	"H2O_.up_to_20_µL."	"Date_performed"	"Who_Seeded_and_treated_cells."	"Passage"	"RNA"	"cDNA"	"qPCR"
"3"	"U87_shC_DMSO_01"	"SLI_A76_02"	0.62586	1.91736171028665	18.0826382897134	43410	"P1"	5	"P2"	"P2"	"P1"
"9"	"U87_shC_DMSO_02"	"SLI_A77_02"	0.75733	1.5845140163469	18.4154859836531	43413	"P1"	6	"P2"	"P2"	"P1"
"15"	"U87_shC_DMSO_03"	"SMI 40 -02"	0.81252	1.47688672278836	18.5231132772116	43775	"P4"	5	"P5"	"P5"	"P4"
"21"	"U87_shC_DMSO_04"	"SMI 41 -02"	0.7791	1.54023873700424	18.4597612629958	43778	"P4"	6	"P5"	"P5"	"P4"
"4"	"U87_shC_FICZ100nM_01"	"SLI_A76_05"	0.60035	1.99883401349213	18.0011659865079	43410	"P1"	5	"P2"	"P2"	"P1"
"10"	"U87_shC_FICZ100nM_02"	"SLI_A77_05"	0.88458	1.35657600217052	18.6434239978295	43413	"P1"	6	"P2"	"P2"	"P1"
"16"	"U87_shC_FICZ100nM_03"	"SMI 40 -05"	0.98481	1.21850915405002	18.78149084595	43775	"P4"	5	"P5"	"P5"	"P4"
"22"	"U87_shC_FICZ100nM_04"	"SMI 41 -05"	0.80449	1.49162823652252	18.5083717634775	43778	"P4"	6	"P5"	"P5"	"P4"
"5"	"U87_shC_KynA50uM_01"	"SLI_A76_10"	0.50283	2.38649245271762	17.6135075472824	43410	"P1"	5	"P2"	"P2"	"P1"
"11"	"U87_shC_KynA50uM_02"	"SLI_A77_03"	0.75501	1.5893829220805	18.4106170779195	43413	"P1"	6	"P2"	"P2"	"P1"
"17"	"U87_shC_KynA50uM_03"	"SMI 40 - 10"	0.80556	1.48964695367198	18.510353046328	43775	"P4"	5	"P5"	"P5"	"P4"
"23"	"U87_shC_KynA50uM_04"	"SMI 41 - 10"	0.74693	1.60657625212537	18.3934237478746	43778	"P4"	6	"P5"	"P5"	"P4"
