Sample.name.Microarray	Sample	Date.performed	Whow.did.it.	Passage	RNA	qPCR
U87_DMSO_01	SLI_A51_01	20170715	P1	8_15	P6	P1
U87_DMSO_02	SLI_A52_01	20170720	P1	8_15	P6	P1
U87_DMSO_03	SMH 60 - 01	20170728	P4	10 to 20	P6	P4
U87_DMSO_04	SMH 61 - 01	20170810	P4	10 to 20	P6	P4
U87_DMSO_05	SLI_A53_01	20170731	P1	8_15	P7	P1
U87_HPP40_M_01	SLI_A33_13	20170214	P1	8_15	P6	P1
U87_HPP40_M_02	SLI_A52_03	20170720	P1	8_15	P6	P1
U87_HPP40_M_03	SMH 60 - 03	20170728	P4	10 to 20	P6	P4
U87_HPP40_M_04	SMH 61 - 03	20170810	P4	10 to 20	P6	P4
U87_HPP40_M_05	SLI_A53_03	20170731	P1	8_15	P7	P1
U87_I3P40_M_01	SLI_A51_02	20170715	P1	8_15	P6	P1
U87_I3P40_M_02	SLI_A52_02	20170720	P1	8_15	P6	P1
U87_I3P40_M_03	SMH 60 - 02	20170728	P4	10 to 20	P6	P4
U87_I3P40_M_04	SMH 61 - 02	20170810	P4	10 to 20	P6	P4
U87_I3P40_M_05	SLI_A53_02	20170731	P1	8_15	P7	P1
U87_PP40_M_01	SLI_A51_04	20170715	P1	8_15	P6	P1
U87_PP40_M_02	SLI_A52_04	20170720	P1	8_15	P6	P1
U87_PP40_M_03	SMH 60 - 04	20170728	P4	10 to 20	P6	P4
U87_PP40_M_04	SMH 61 - 04	20170810	P4	10 to 20	P6	P4
U87_PP40_M_05	SLI_A53_04	20170731	P1	8_15	P7	P1
