Tumor,modules,Angiogenesis,Drug metabolsim,External stress response,Hemopoiesis,Immune modulation,Lipid metabolsim,Motility
ACC ,darkolivegreen,1,0,0,0,0,0,0
ACC ,firebrick4,0,0,0,0,0,0,0
ACC ,indianred4,0,0,0,0,0,0,0
ACC ,lightcoral,0,0,0,0,0,0,0
ACC ,lightyellow,0,0,0,0,0,0,0
ACC ,mediumorchid,1,1,0,0,0,0,0
ACC ,mediumpurple4,0,0,0,0,0,0,0
ACC ,midnightblue,0,0,0,0,0,0,0
ACC ,navajowhite2,0,0,0,0,0,0,0
ACC ,orange ,0,0,0,0,0,0,0
ACC ,purple,1,0,0,0,0,0,1
ACC ,royalblue,0,0,0,0,0,0,0
ACC ,tan ,0,0,0,0,0,0,0
ACC ,turquoise ,1,0,1,1,1,0,1
BLCA ,black,0,0,0,0,0,0,0
BLCA ,blue,0,0,1,0,1,0,1
BLCA ,brown ,0,0,0,0,0,0,0
BLCA ,cyan,0,0,0,0,0,0,0
BLCA ,darkgreen ,0,0,0,0,0,0,0
BLCA ,darkgrey,1,0,0,0,0,0,1
BLCA ,darkolivegreen,0,0,0,0,0,0,0
BLCA ,darkorange ,0,0,0,0,0,0,0
BLCA ,darkred,0,0,0,0,0,0,0
BLCA ,darkturquoise,0,0,0,0,0,0,0
BLCA ,grey ,0,0,0,0,0,0,0
BLCA ,lightcyan,0,0,0,0,0,0,0
BLCA ,lightgreen,0,0,0,0,1,0,0
BLCA ,lightyellow,0,0,1,1,1,0,0
BLCA ,magenta ,0,0,0,0,0,0,0
BLCA ,midnightblue,0,0,0,0,0,0,0
BLCA ,orange ,0,0,0,0,0,0,0
BLCA ,pink,0,0,0,0,0,0,0
BLCA ,plum1,0,0,0,0,0,0,0
BLCA ,red,1,1,0,0,0,0,1
BLCA ,royalblue,1,0,0,0,0,0,0
BLCA ,salmon,0,0,0,0,0,0,0
BLCA ,tan,0,0,0,0,0,0,0
BLCA ,turquoise ,0,1,0,0,0,0,0
BLCA ,white ,0,0,0,0,0,0,0
BLCA ,yellow,0,0,0,0,0,0,0
BRCA ,black,0,0,0,0,0,0,0
BRCA ,brown,0,0,1,0,1,0,1
BRCA ,cyan,1,0,0,0,0,0,1
BRCA ,darkgreen,1,0,0,0,0,0,0
BRCA ,darkolivegreen,0,0,0,0,0,1,0
BRCA ,darkred,0,0,0,0,0,0,0
BRCA ,greenyellow,1,0,0,0,0,0,0
BRCA ,grey,0,1,0,0,0,0,0
BRCA ,ivory,0,0,0,0,0,0,0
BRCA ,lightcyan,0,0,0,0,0,0,0
BRCA ,lightcyan1,0,0,0,0,0,0,0
BRCA ,lightgreen,0,0,0,0,0,0,0
BRCA ,lightsteelblue1,0,0,0,0,0,0,0
BRCA ,lightyellow,0,0,0,0,0,0,0
BRCA ,midnightblue,0,0,0,0,0,0,0
BRCA ,navijowhite2,0,0,0,0,0,0,0
BRCA ,orange,0,0,0,0,0,0,0
BRCA ,organgered4,0,0,0,0,1,0,0
BRCA ,paleturquoise,0,0,0,0,1,0,0
BRCA ,pink,1,1,0,0,0,0,1
BRCA ,purple,0,0,0,0,0,0,0
BRCA ,red,0,0,0,0,1,0,0
BRCA ,royalblue ,0,0,0,0,0,0,0
BRCA ,salmon ,0,0,0,0,0,0,0
BRCA ,salmon4,0,0,1,0,0,0,0
BRCA ,skyblue3,0,0,1,1,1,0,0
BRCA ,steelblue,0,0,0,0,1,0,0
BRCA ,tan,0,0,0,0,0,0,0
BRCA ,violet,0,0,0,0,0,0,0
BRCA ,yellowgreen ,0,0,0,0,0,0,0
CESC,antiquewhite4,0,0,0,0,0,0,0
CESC,bisque4,0,0,0,0,0,0,0
